,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
28,7001.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,outubro de 2021 ,G
29,6483.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,outubro de 2021 ,G
30,9018.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,setembro de 2021 ,G
31,6899.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,setembro de 2021 ,G
32,6388.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,setembro de 2021 ,G
33,8886.0,Nissan,Altima SE 2.4 16V,1995,Gasolina,023021-9,agosto de 2021 ,G
34,6798.0,Nissan,Altima SE 2.4 16V,1994,Gasolina,023021-9,agosto de 2021 ,G
35,6295.0,Nissan,Altima SE 2.4 16V,1993,Gasolina,023021-9,agosto de 2021 ,G
0,62013.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,julho de 2022 ,G
1,62670.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,junho de 2022 ,G
2,65900.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,maio de 2022 ,G
3,65588.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,abril de 2022 ,G
4,63794.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,março de 2022 ,G
5,63046.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,fevereiro de 2022 ,G
6,60533.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,janeiro de 2022 ,G
7,61706.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,dezembro de 2021 ,G
8,61813.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,novembro de 2021 ,G
9,60899.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,outubro de 2021 ,G
10,60088.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,setembro de 2021 ,G
11,59214.0,Nissan,ALTIMA SL 2.5 16V 4p Aut.,2014,Gasolina,023124-0,agosto de 2021 ,G
0,955152.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,julho de 2022 ,G
1,925543.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,julho de 2022 ,G
2,820057.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,julho de 2022 ,G
3,958027.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,junho de 2022 ,G
4,928328.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,junho de 2022 ,G
5,822525.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,junho de 2022 ,G
6,950424.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,maio de 2022 ,G
7,920961.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,maio de 2022 ,G
8,815998.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,maio de 2022 ,G
9,942881.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,abril de 2022 ,G
10,913652.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,abril de 2022 ,G
11,809522.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,abril de 2022 ,G
12,935398.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,março de 2022 ,G
13,906401.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,março de 2022 ,G
14,803098.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,março de 2022 ,G
15,898322.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,fevereiro de 2022 ,G
16,864062.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2017,Gasolina,023151-7,fevereiro de 2022 ,G
17,796725.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2016,Gasolina,023151-7,fevereiro de 2022 ,G
18,891193.0,Nissan,GT-R 3.8 V6 BiTurbo Aut.,2019,Gasolina,023151-7,janeiro de 2022 ,G
