,Valor,Marca,Modelo,AnoModelo,Combustivel,CodigoFipe,MesReferencia,SiglaCombustivel
21,345055.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,fevereiro de 2022 ,G
22,294784.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,fevereiro de 2022 ,G
23,275213.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,fevereiro de 2022 ,G
24,246512.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,fevereiro de 2022 ,G
25,329690.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,janeiro de 2022 ,G
26,286995.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,janeiro de 2022 ,G
27,273029.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,janeiro de 2022 ,G
28,251287.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,janeiro de 2022 ,G
29,307897.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,dezembro de 2021 ,G
30,282554.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,dezembro de 2021 ,G
31,270863.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,dezembro de 2021 ,G
32,256154.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,dezembro de 2021 ,G
33,305897.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,novembro de 2021 ,G
34,279639.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,novembro de 2021 ,G
35,269922.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,novembro de 2021 ,G
36,256870.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,novembro de 2021 ,G
37,296683.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,outubro de 2021 ,G
38,278668.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,outubro de 2021 ,G
39,268984.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,outubro de 2021 ,G
40,257966.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,outubro de 2021 ,G
41,297834.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,setembro de 2021 ,G
42,274584.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,setembro de 2021 ,G
43,265042.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,setembro de 2021 ,G
44,256055.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,setembro de 2021 ,G
45,294499.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),32000,Gasolina,080023-6,agosto de 2021 ,G
46,270560.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2022,Gasolina,080023-6,agosto de 2021 ,G
47,261158.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2021,Gasolina,080023-6,agosto de 2021 ,G
48,252154.0,JAC,iEV 330P CD 150cv Aut. (Elétrico),2020,Gasolina,080023-6,agosto de 2021 ,G
0,197261.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,julho de 2022 ,G
1,190203.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,julho de 2022 ,G
2,176923.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,julho de 2022 ,G
3,162030.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,julho de 2022 ,G
4,197855.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,junho de 2022 ,G
5,190776.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,junho de 2022 ,G
6,177456.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,junho de 2022 ,G
7,165000.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,junho de 2022 ,G
8,196285.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,maio de 2022 ,G
9,189262.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,maio de 2022 ,G
10,176048.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,maio de 2022 ,G
11,165139.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,maio de 2022 ,G
12,194728.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,abril de 2022 ,G
13,187760.0,JAC,iEV 40 115cv 5p. (Elétrico),2022,Gasolina,080022-8,abril de 2022 ,G
14,174651.0,JAC,iEV 40 115cv 5p. (Elétrico),2021,Gasolina,080022-8,abril de 2022 ,G
15,165139.0,JAC,iEV 40 115cv 5p. (Elétrico),2020,Gasolina,080022-8,abril de 2022 ,G
16,194728.0,JAC,iEV 40 115cv 5p. (Elétrico),32000,Gasolina,080022-8,março de 2022 ,G
